PREVIEWS JULY VOL. 23 #7

PAGE 24					
PREVIEWS PUBLICATIONS					
SS	JUL13 0134	4 INCH DOMO VINYL FIGURE BLACK LIGHT GREEN (DEC110087) (C: 1-0-0)	8/14/2013	SRP: $14.99	 = $
SS	JUL13 0135	4 INCH DOMO VINYL FIGURE BLACK LIGHT ORANGE (DEC110090) (C: 1-0-0)	8/21/2013	SRP: $14.99	 = $
SS	JUL13 0136	4 INCH DOMO VINYL FIGURE BLACK LIGHT PINK (DEC110088) (C: 1-0-0)	8/14/2013	SRP: $14.99	 = $
SS	JUL13 0137	4 INCH DOMO VINYL FIGURE BLACK LIGHT YELLOW (DEC110091) (C: 1-0-0)	8/21/2013	SRP: $14.99	 = $
SS	JUL13 0138	4 INCH DOMO VINYL FIGURE BLACK LIGHT RED (DEC110086) (C: 1-0-0)	8/14/2013	SRP: $14.99	 = $
SS	JUL13 0139	4 INCH DOMO VINYL FIGURE BLACK LIGHT PURPLE (DEC110089) (C: 1-0-0)	8/21/2013	SRP: $14.99	 = $
SS	JUL13 0140	4 INCH DOMO METALLIC VINYL FIGURE GOLD (JUN120058) (C: 1-0-0)	8/14/2013	SRP: $14.99	 = $
SS	JUL13 0141	4 INCH DOMO METALLIC VINYL FIGURE SILVER (JUN120059) (C: 1-0-0)	8/21/2013	SRP: $14.99	 = $
SS	JUL13 0142	4 INCH DOMO METALLIC VINYL FIGURE BRONZE (JUN120060) (C: 1-0-0)	8/14/2013	SRP: $14.99	 = $
SS	JUL13 0143	4 INCH DOMO FLOCKED VINYL FIGURE ORANGE SODA (JUN120057) (C: 1-0-0)	8/21/2013	SRP: $14.99	 = $
SS	JUL13 0144	4 INCH DOMO FLOCKED VINYL FIGURE LIME SODA (JUN120055) (C: 1-0-0)	8/14/2013	SRP: $14.99	 = $
SS	JUL13 0145	4 INCH DOMO FLOCKED VINYL FIGURE GRAPE SODA (JUN120056) (C: 1-0-0)	8/21/2013	SRP: $14.99	 = $
OA	JUL13 0146	DOMO 4 INCH FLOCKED VINYL FIGURE CLASSIC BROWN (O/A) (C: 1-0-0)	8/14/2013	SRP: $12.99	 = $
SS	JUL13 0147	DOMO QEE SERIES 4 MYSTERY DISPLAY CASE (JAN120122) (C: 1-0-0)	8/21/2013	SRP: $134.85	 = $
SS	JUL13 0148	DOMO QEE SERIES 5 DISPLAY CASE (OCT120065) (C: 1-0-0)	8/14/2013	SRP: $134.85	 = $
PAGE 73					
DC COMICS					
DC UNIVERSE: SPECIAL EVENT					
GEM	JUL13 0149	FOREVER EVIL #1 (OF 7)	9/4/2013	SRP: $3.99	 = $
	JUL13 0155	FOREVER EVIL #1 (OF 7) COMBO PACK	9/4/2013	SRP: $4.99	 = $
PAGE 74					
DC UNIVERSE: JUSTICE LEAGUE					
SPOT	JUL13 0156	JUSTICE LEAGUE #23.1 DARKSEID	9/4/2013	SRP: $3.99	 = $
PAGE 75					
	JUL13 0157	JUSTICE LEAGUE #23.2 LOBO	9/11/2013	SRP: $3.99	 = $
PAGE 76					
	JUL13 0158	JUSTICE LEAGUE #23.3 DIAL E	9/18/2013	SRP: $3.99	 = $
PAGE 77					
	JUL13 0159	JUSTICE LEAGUE #23.4 SECRET SOCIETY	9/25/2013	SRP: $3.99	 = $
PAGE 78					
SPOT	JUL13 0160	JUSTICE LEAGUE OF AMERICA #7.1 DEADSHOT	9/4/2013	SRP: $3.99	 = $
PAGE 79					
	JUL13 0161	JUSTICE LEAGUE OF AMERICA #7.2 KILLER FROST	9/11/2013	SRP: $3.99	 = $
PAGE 80					
	JUL13 0162	JUSTICE LEAGUE OF AMERICA #7.3 SHADOW THIEF	9/18/2013	SRP: $3.99	 = $
	JUL13 0163	JUSTICE LEAGUE OF AMERICA #7.4 BLACK ADAM	9/25/2013	SRP: $3.99	 = $
PAGE 81					
SPOT	JUL13 0164	JUSTICE LEAGUE DARK #23.1 CREEPER	9/4/2013	SRP: $3.99	 = $
PAGE 82					
	JUL13 0165	JUSTICE LEAGUE DARK #23.2 ECLIPSO	9/18/2013	SRP: $3.99	 = $
PAGE 83					
SPOT	JUL13 0166	AQUAMAN #23.1 BLACK MANTA	9/11/2013	SRP: $3.99	 = $
PAGE 84					
	JUL13 0167	AQUAMAN #23.2 OCEAN MASTER	9/25/2013	SRP: $3.99	 = $
PAGE 85					
SPOT	JUL13 0168	EARTH 2 #15.1 DESAAD	9/4/2013	SRP: $3.99	 = $
PAGE 86					
	JUL13 0169	EARTH 2 #15.2 SOLOMON GRUNDY	9/11/2013	SRP: $3.99	 = $
PAGE 87					
SPOT	JUL13 0170	FLASH #23.1 GRODD	9/4/2013	SRP: $3.99	 = $
PAGE 88					
	JUL13 0171	FLASH #23.2 REVERSE FLASH	9/11/2013	SRP: $3.99	 = $
	JUL13 0172	FLASH #23.3 ROGUES	9/18/2013	SRP: $3.99	 = $
PAGE 89					
SPOT	JUL13 0173	GREEN ARROW #23.1 COUNT VERTIGO	9/4/2013	SRP: $3.99	 = $
PAGE 90					
SPOT	JUL13 0174	WONDER WOMAN #23.1 CHEETAH	9/18/2013	SRP: $3.99	 = $
PAGE 91					
	JUL13 0175	WONDER WOMAN #23.2 FIRST BORN	9/25/2013	SRP: $3.99	 = $
PAGE 92					
DC UNIVERSE: SUPERMAN					
SPOT	JUL13 0176	ACTION COMICS #23.1 CYBORG SUPERMAN	9/4/2013	SRP: $3.99	 = $
PAGE 93					
	JUL13 0177	ACTION COMICS #23.2 ZOD	9/11/2013	SRP: $3.99	 = $
PAGE 94					
	JUL13 0178	ACTION COMICS #23.3 LEX LUTHOR	9/18/2013	SRP: $3.99	 = $
	JUL13 0179	ACTION COMICS #23.4 METALLO	9/25/2013	SRP: $3.99	 = $
PAGE 95					
SPOT	JUL13 0180	SUPERMAN #23.1 BIZARRO	9/4/2013	SRP: $3.99	 = $
PAGE 96					
	JUL13 0181	SUPERMAN #23.2 BRAINIAC	9/11/2013	SRP: $3.99	 = $
PAGE 97					
	JUL13 0182	SUPERMAN #23.3 HEL	9/18/2013	SRP: $3.99	 = $
	JUL13 0183	SUPERMAN #23.4 PARASITE	9/25/2013	SRP: $3.99	 = $
PAGE 98					
